RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
2046,Suffolk,New York,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342400,342700,342500,330200,3.31E+05,326700,335900,341300,348400,349400,346200,349900,3.49E+05,348400,345100,345300,346500,347100,348100,343800,341500,339500,344300,342900,343600,343500,346600,342500,337900,338500,341300,346700,350100,353200,352400,350400,354900,352800,350800,345500,345600,346200,344500,345500,3.47E+05,347800,347200,345400,346300,3.49E+05,3.52E+05,353200,3.55E+05,353600,354700,349900,352500,355300,359100,358100,353500,356600,358300,359100,353100,344600,,,
3017,Sacramento,California,22,247500,233400,221400,210800,202800,197100,188800,184400,177500,172800,167300,161400,159500,155100,157200,158700,163100,166900,168500,172200,1.73E+05,175700,174400,171300,170900,171400,173800,1.73E+05,170100,168500,166200,166600,1.67E+05,166900,166800,160600,157500,153400,152900,1.51E+05,149500,150600,150500,1.51E+05,153300,1.54E+05,155100,153500,155600,154500,154300,153400,156400,161500,166400,173600,180300,184300,189500,190200,197800,201800,211600,217400,224300,228100,231500,232300,2.35E+05,238400,242700,244100,243400,244600,246500,248400,247300,2.48E+05,250900,253200,254400,254300,255500,257500,260900,263600,264300,264400,265600,266400,267900,270300,272300,276500,279200,282500,2.87E+05,288700,290500,290200,293300,297500,299100,302600,306300,307100,310500,308900,315800,314300,317500,318600,324400,327400,326300,3.27E+05,329200,331600,336100,3.36E+05
1252,Nassau,New York,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410200,409700,410700,412100,415600,414400,417500,415200,418400,418200,422600,422400,4.27E+05,434300,439200,436600,430600,4.26E+05,427400,429100,428600,436600,438500,446300,4.36E+05,433100,424400,429300,431800,442800,4.45E+05,437900,442100,445100,457800,451300,455100,460200,463800,465500,466300,471600,468500,4.69E+05,471700,477400,484700,481200,482600,485200,488800,486400,486600,552800,,
2993,Palm Beach,Florida,24,244200,234300,220700,219200,217600,218500,2.15E+05,2.06E+05,195600,185200,178400,172100,164400,155600,147400,145700,148500,153200,158900,1.60E+05,159200,158100,158400,159800,155800,152200,149400,148700,145900,142200,137800,137300,136600,134400,133600,129500,125400,120300,120700,120500,1.19E+05,115400,1.14E+05,116500,115300,118400,118100,122100,121100,124400,1.26E+05,130900,133400,135400,138300,139700,145700,148500,157300,1.58E+05,157600,154400,156900,161500,162900,164700,165800,168500,1.72E+05,176100,180900,181300,182600,180700,181300,182800,1.86E+05,1.85E+05,186600,187100,192900,193400,1.95E+05,196900,199500,202200,207600,2.11E+05,211400,209500,209200,211200,210200,212400,210500,217800,218600,223400,221600,222700,225200,225500,230400,231800,234400,233800,236700,243900,244400,245400,239600,240700,238700,239400,,,,,,
2241,Cuyahoga,Ohio,25,,,,,,,,,,,,,,,,,,,,94600,100500,100800,99400,95800,95500,97300,100700,99400,91600,86200,81900,87800,96700,102100,99400,83700,78600,74900,7.70E+04,79700,80900,85300,81100,80700,79600,81200,81300,7.60E+04,73200,75500,81800,83100,82900,82200,84600,83600,82200,84800,86700,88300,85700,83200,80900,83900,8.80E+04,92600,92200,91100,91600,89700,90200,83100,85700,87900,9.60E+04,96300,95100,96900,96100,99100,97100,99200,96200,92200,93400,92100,9.80E+04,9.70E+04,100600,9.90E+04,98900,9.60E+04,95200,95800,99600,104300,102900,105600,105400,108200,104600,105500,107400,111700,117600,120900,125500,118800,117800,116800,120300,1.15E+05,1.10E+05,107200,114100,1.23E+05,132100,1.32E+05,130600,
3165,Hillsborough,Florida,26,197900,185100,176300,173400,172700,168700,164400,157800,155800,147200,141500,134200,129300,125900,121600,123600,124800,125300,124300,123800,126600,125500,124800,123300,1.21E+05,1.18E+05,116200,118100,1.15E+05,111400,106300,1.08E+05,105900,106400,101400,94800,89200,85200,8.80E+04,90500,97700,101100,105300,104900,106300,104300,105200,105100,105800,105100,105200,108900,112300,115700,1.15E+05,117800,123500,128400,129100,125100,126800,127800,132200,132600,136700,141800,143200,143200,140700,141100,140500,139500,135700,132200,130500,134700,139900,144200,145700,146400,146600,147200,1.50E+05,151700,152900,154100,155600,157600,158200,158900,160900,162900,165400,166200,169600,174900,177300,177900,176600,179900,180200,181900,181600,183900,185200,189700,197900,202800,200800,193300,188300,190900,193800,197100,196500,197200,200100,201500,205600,
2614,Allegheny,Pennsylvania,27,83900,86900,89700,92100,95800,94700,9.30E+04,89500,90300,84300,79100,76700,79200,82700,88500,96200,102200,104600,106100,106800,109800,108300,106100,101700,102600,105300,108700,110700,1.09E+05,110200,109500,112300,1.10E+05,109600,107700,104600,103700,1.01E+05,105300,1.08E+05,113100,114100,112600,110600,108700,1.05E+05,107400,110200,1.15E+05,117600,118300,1.22E+05,122400,123900,123200,123900,123100,120900,121200,121100,123600,123700,125100,125200,126300,125800,126800,125600,126600,1.26E+05,123800,122100,1.24E+05,127800,129300,129500,128700,131100,131600,1.33E+05,130300,131200,130500,134100,134400,134700,132500,132600,1.35E+05,135900,136800,135700,135400,1.35E+05,138300,141400,140900,138500,137200,139100,139400,138700,1.37E+05,138500,141700,143900,144400,141300,140900,141600,145700,1.48E+05,148300,147800,146800,148700,153500,153300,,
2339,Hennepin,Minnesota,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29E+05,232300,232900,231500,235800,240800,244500,2.41E+05,237400,234800,237400,239600,243400,245400,242400,241800,245100,247900,249700,249100,250200,248200,242800,241200,244100,249600,254100
1287,Orange,Florida,29,223500,219300,208100,208400,205900,207600,202100,193900,1.81E+05,171800,1.66E+05,161800,148200,136200,122600,119800,113500,117100,115200,118900,112500,114100,104900,103500,98700,100400,102300,104100,106200,103100,97900,95500,9.40E+04,91300,88900,83800,88200,90300,98400,1.01E+05,103800,106800,107200,107500,110700,112700,115300,112700,111900,110300,113400,118400,1.22E+05,124300,124200,1.26E+05,124100,124800,1.28E+05,135500,139400,142600,141800,143300,144800,153500,157700,1.59E+05,156500,155200,156200,156500,160600,163700,168100,1.69E+05,168400,166500,165200,164800,160100,158400,161500,172500,184500,188700,192500,193400,198600,199900,205400,211700,216100,218100,219200,218600,2.15E+05,212400,213900,219700,222700,227500,227300,229400,227300,231300,236300,242400,240200,236800,230900,229500,225200,225500,223100,223700,216100,220400,223700,
1694,Fairfax,Virginia,30,416200,399900,384500,379900,377900,373900,361300,353900,3.45E+05,334700,327700,322700,327800,328700,335600,344300,359400,3.74E+05,383500,377100,370900,3.68E+05,377300,381300,379700,377100,375700,384600,398500,410600,410700,403700,394100,395300,390300,392900,389600,392500,392100,395700,403100,410500,418300,411200,4.12E+05,404900,401600,393600,395400,401600,414100,417900,424900,424100,427800,428300,431500,426300,4.27E+05,426100,432800,434400,4.36E+05,446100,4.50E+05,456500,450200,450900,448700,445100,445400,4.39E+05,442100,443800,449100,451600,450500,453200,454300,458600,459700,460600,459700,462600,465200,466300,467200,465700,466200,464400,465900,463700,465700,459500,4.63E+05,461900,468100,467100,469100,471800,473200,473100,470400,470900,4.70E+05,474900,478100,482700,491200,493700,498400,492700,490400,488800,488100,4.90E+05,494400,498900,506700,
3159,Contra Costa,California,31,448700,402600,366700,345300,333200,316800,301500,289600,274800,257900,245700,2.35E+05,226700,216400,211700,216500,227600,241500,2.51E+05,264200,274300,285300,281100,276700,2.70E+05,267800,267400,266900,2.71E+05,270700,2.76E+05,273100,271700,266100,263400,261200,2.52E+05,245400,237700,241700,239700,2.46E+05,2.47E+05,254600,256200,255900,255700,253900,256300,263200,272700,287900,292300,298400,302900,3.12E+05,322200,330700,333400,3.36E+05,337400,361700,383700,400700,408800,413200,418500,414400,414700,415700,420400,425900,426900,430800,434300,439400,442100,442400,447700,453700,448500,4.45E+05,437600,458600,4.64E+05,471800,458900,465600,465500,487900,488100,490900,484400,492600,500900,496100,4.96E+05,495100,5.01E+05,502100,504400,503200,499800,507200,515200,5.25E+05,532800,5.39E+05,544700,549700,547600,547900,544600,550900,556700,572600,579700,577400,568200,577300
2840,Salt Lake,Utah,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30E+05,229700,233900,234100,235600,236300,236400,234700,232700,236800,237600,239800,242500,245300,246100,245700,240700,243400,244200,2.50E+05,251200,250700,252600,254800,255500,256900,256900,2.58E+05,259100,260100,262800,265800,266800,268500,268700,272400,275600,275900,276400,279800,281400,284300,2.87E+05,292100,2.94E+05,292600,291200,293200,301300,308800,312100,314200,
